model,arch,matrix,shape,n_bits,cosine,mse
gpt2-medium,transformer,transformer.h.0.mlp.c_proj.weight,"(4096, 1024)",8,0.9920063921278169,0.0011480254
gpt2-medium,transformer,transformer.h.0.mlp.c_proj.weight,"(4096, 1024)",6,0.8848168589681649,0.01896226
gpt2-medium,transformer,transformer.h.0.mlp.c_proj.weight,"(4096, 1024)",5,0.580259625763316,0.055101305
gpt2-medium,transformer,transformer.h.0.mlp.c_proj.weight,"(4096, 1024)",4,0.2364087703001631,0.0670355
gpt2-medium,transformer,transformer.h.0.mlp.c_proj.weight,"(4096, 1024)",3,0.20023718468597326,0.068267606
gpt2-medium,transformer,transformer.h.0.mlp.c_proj.weight,"(4096, 1024)",2,0.13991049000319303,0.069420695
gpt2-medium,transformer,transformer.h.1.mlp.c_fc.weight,"(1024, 4096)",8,0.9950307451343842,0.0046156785
gpt2-medium,transformer,transformer.h.1.mlp.c_fc.weight,"(1024, 4096)",6,0.9252442328146591,0.07650079
gpt2-medium,transformer,transformer.h.1.mlp.c_fc.weight,"(1024, 4096)",5,0.7326156364940127,0.26477832
gpt2-medium,transformer,transformer.h.1.mlp.c_fc.weight,"(1024, 4096)",4,0.2392228019552676,0.44062743
gpt2-medium,transformer,transformer.h.1.mlp.c_fc.weight,"(1024, 4096)",3,0.041880924868711644,0.47452864
gpt2-medium,transformer,transformer.h.1.mlp.c_fc.weight,"(1024, 4096)",2,0.03091836829835996,0.45985973
gpt2-medium,transformer,transformer.h.1.mlp.c_proj.weight,"(4096, 1024)",8,0.968013212687986,0.0042080977
gpt2-medium,transformer,transformer.h.1.mlp.c_proj.weight,"(4096, 1024)",6,0.635348245118972,0.042968683
gpt2-medium,transformer,transformer.h.1.mlp.c_proj.weight,"(4096, 1024)",5,0.36398666514387656,0.05698859
gpt2-medium,transformer,transformer.h.1.mlp.c_proj.weight,"(4096, 1024)",4,0.2820394910829202,0.058588844
gpt2-medium,transformer,transformer.h.1.mlp.c_proj.weight,"(4096, 1024)",3,0.20901824102055355,0.06143199
gpt2-medium,transformer,transformer.h.1.mlp.c_proj.weight,"(4096, 1024)",2,0.10257811930665856,0.06477187
gpt2-medium,transformer,transformer.h.2.mlp.c_fc.weight,"(1024, 4096)",8,0.999323399932574,0.0006245432
gpt2-medium,transformer,transformer.h.2.mlp.c_fc.weight,"(1024, 4096)",6,0.9888099340222563,0.010588549
gpt2-medium,transformer,transformer.h.2.mlp.c_fc.weight,"(1024, 4096)",5,0.9539418708328395,0.045803927
gpt2-medium,transformer,transformer.h.2.mlp.c_fc.weight,"(1024, 4096)",4,0.819998326185264,0.19833384
gpt2-medium,transformer,transformer.h.2.mlp.c_fc.weight,"(1024, 4096)",3,0.30691880713114256,0.44358182
gpt2-medium,transformer,transformer.h.2.mlp.c_fc.weight,"(1024, 4096)",2,0.03834021641372094,0.46771386
gpt2-medium,transformer,transformer.h.2.mlp.c_proj.weight,"(4096, 1024)",8,0.9651155464080544,0.0050129853
gpt2-medium,transformer,transformer.h.2.mlp.c_proj.weight,"(4096, 1024)",6,0.5759790290446614,0.051821914
gpt2-medium,transformer,transformer.h.2.mlp.c_proj.weight,"(4096, 1024)",5,0.27114999927884426,0.063431434
gpt2-medium,transformer,transformer.h.2.mlp.c_proj.weight,"(4096, 1024)",4,0.2541942854550978,0.06405431
gpt2-medium,transformer,transformer.h.2.mlp.c_proj.weight,"(4096, 1024)",3,0.17654025700483014,0.067496695
gpt2-medium,transformer,transformer.h.2.mlp.c_proj.weight,"(4096, 1024)",2,0.13387790377547418,0.067432255
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.A_log,"(2048, 16)",8,0.9999756041743187,9.4776144e-05
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.A_log,"(2048, 16)",6,0.9995498286450455,0.0017575911
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.A_log,"(2048, 16)",5,0.9975839677674562,0.00688944
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.A_log,"(2048, 16)",4,0.9855141977290744,0.036496773
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.A_log,"(2048, 16)",3,0.9579978865966939,0.17193985
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.A_log,"(2048, 16)",2,0.3651830438513481,1.6167808
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.in_proj.weight,"(4096, 1024)",8,0.9986853555207719,0.000206316
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.in_proj.weight,"(4096, 1024)",6,0.9782891504150448,0.0034271553
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.in_proj.weight,"(4096, 1024)",5,0.9152430258991973,0.014547302
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.in_proj.weight,"(4096, 1024)",4,0.6631567926517935,0.053986467
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.in_proj.weight,"(4096, 1024)",3,0.0964698446122337,0.07600734
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.in_proj.weight,"(4096, 1024)",2,0.01894489871499191,0.07548046
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.x_proj.weight,"(96, 2048)",8,0.9994668305401967,7.987662e-05
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.x_proj.weight,"(96, 2048)",6,0.9922827590518085,0.0013127886
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.x_proj.weight,"(96, 2048)",5,0.9654848349606706,0.0056055435
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.x_proj.weight,"(96, 2048)",4,0.8839300145741291,0.02051009
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.x_proj.weight,"(96, 2048)",3,0.6179147315783748,0.058539037
state-spaces/mamba-370m-hf,state-space,backbone.layers.0.mixer.x_proj.weight,"(96, 2048)",2,0.10122093570078032,0.078040324
